Count	ID					STRUCTURE	E-STRUCTURE-SIZE	A. NETWORK QUALITY		M. NETWORK QUALITY		REFERENCE

                                                                                                            24457969                 : http://en.wikipedia.org/wiki?curid=24457969 | http://www.wikidata.org/wiki/Q4294807 | http://www.treasury.gov.lk | Ministry of Finance (Sri Lanka)

2    	39_N2137244788                                      GOOD [0.0]                                      1500026                  : http://en.wikipedia.org/wiki?curid=1500026 | http://www.wikidata.org/wiki/Q4294509 | http://www.mindef.gov.sg | Ministry of Defence (Singapore)
                                                                                                            39541429                 : http://en.wikipedia.org/wiki?curid=39541429 | http://www.wikidata.org/wiki/Q16978062 | Ministry of Defence (Djibouti)
                                                                                                            grid.447755.0            : 14.403181 | 50.09534 | http://www.army.cz/en/ | Ministerstvo Obrany a Armáda České Republiky | Ministry of Defence
                                                                                                            grid.462591.d            : 4.315866 | 52.079453 | https://www.defensie.nl/ | Ministry of Defence
                                                                                                            23034786                 : http://en.wikipedia.org/wiki?curid=23034786 | http://www.wikidata.org/wiki/Q2198758 | http://www.mod.gov.rs | Ministry of Defence (Serbia)
                                                                                                            1413472                  : http://en.wikipedia.org/wiki?curid=1413472 | http://www.wikidata.org/wiki/Q1062689 | http://www.mod.go.jp/e/index.html | Ministry of Defense (Japan)
                                                                                                            grid.483812.4            : 34.789993 | 31.247208 | http://www.mod.gov.il/ | Misrad HaBitahon | Ministry of Defense
                                                                                                            participant_959680462    : MINISTRY OF DEFENSE
                                                                                                            3226446                  : http://en.wikipedia.org/wiki?curid=3226446 | http://www.wikidata.org/wiki/Q1862884 | http://www.mod.gov.il | Ministry of Defense (Israel)
                                                                                                            11203375                 : http://en.wikipedia.org/wiki?curid=11203375 | http://www.wikidata.org/wiki/Q3315274 | http://www.mod.gov.lv | Ministry of Defence (Latvia)
                                                                                                            31687088                 : http://en.wikipedia.org/wiki?curid=31687088 | http://www.wikidata.org/wiki/Q3181026 | http://www.defensa.gob.es | Ministry of Defence (Spain)
                                                                                                            24749061                 : http://en.wikipedia.org/wiki?curid=24749061 | http://www.wikidata.org/wiki/Q4294510 | http://www.mo.gov.si/en | Ministry of Defence (Slovenia)
                                                                                                            25011204                 : http://en.wikipedia.org/wiki?curid=25011204 | http://www.wikidata.org/wiki/Q4294513 | http://www.mod.gov.me | Ministry of Defence (Montenegro)
                                                                                                            7875884                  : http://en.wikipedia.org/wiki?curid=7875884 | http://www.wikidata.org/wiki/Q1146492 | http://www.mil.ru | Ministry of Defence (Russia)
                                                                                                            7144565                  : http://en.wikipedia.org/wiki?curid=7144565 | http://www.wikidata.org/wiki/Q2641653 | http://www.mod.nic.in | Ministry of Defence (India)
                                                                                                            1289906                  : http://en.wikipedia.org/wiki?curid=1289906 | http://www.wikidata.org/wiki/Q2982461 | http://mod.gov.af/en | Ministry of Defense (Afghanistan)
                                                                                                            40773219                 : http://en.wikipedia.org/wiki?curid=40773219 | http://www.wikidata.org/wiki/Q16257919 | https://web.archive.org/web/20121024002838/http://www.mod.gov.kw/mod/arabic_p/index.jsp | Ministry of Defense (Kuwait)
                                                                                                            14284651                 : http://en.wikipedia.org/wiki?curid=14284651 | http://www.wikidata.org/wiki/Q2066149 | http://www.mil.gov.ua/en | Ministry of Defence (Ukraine)
                                                                                                            9927970                  : http://en.wikipedia.org/wiki?curid=9927970 | http://www.wikidata.org/wiki/Q276724 | http://www.defence.lk | Ministry of Defence (Sri Lanka)
                                                                                                            25647162                 : http://en.wikipedia.org/wiki?curid=25647162 | http://www.wikidata.org/wiki/Q2601742 | http://www.mindef.gov.ar/index.php | Ministry of Defense (Argentina)
                                                                                                            9473113                  : http://en.wikipedia.org/wiki?curid=9473113 | http://www.wikidata.org/wiki/Q2119820 | http://www.government.nl/ministries/def | Ministry of Defence (Netherlands)
                                                                                                            2250944                  : http://en.wikipedia.org/wiki?curid=2250944 | http://www.wikidata.org/wiki/Q6866750 | http://www.defence.govt.nz | Ministry of Defence (New Zealand)
                                                                                                            9264157                  : http://en.wikipedia.org/wiki?curid=9264157 | http://www.wikidata.org/wiki/Q2113255 | http://www.morh.hr | Ministry of Defence (Croatia)
                                                                                                            grid.456757.2            : -47.89175 | -15.687361 | http://www.defesa.gov.br/ | Ministry of Defence
                                                                                                            grid.48862.30            : -0.124945 | 51.504288 | https://www.gov.uk/government/organisations/ministry-of-defence | Ministry of Defence
                                                                                                            857460                   : http://en.wikipedia.org/wiki?curid=857460 | http://www.wikidata.org/wiki/Q2982684 | http://www.regjeringen.no/en/dep/fd.html?id=380 | Ministry of Defence (Norway)
                                                                                                            9544763                  : http://en.wikipedia.org/wiki?curid=9544763 | http://www.wikidata.org/wiki/Q374032 | http://www.mod.somaligov.net | Ministry of Defence (Somalia)
                                                                                                            41155357                 : http://en.wikipedia.org/wiki?curid=41155357 | http://www.wikidata.org/wiki/Q17010288 | http://mod.gov.np | Ministry of Defence (Nepal)
                                                                                                            grid.452314.5            : 103.76091 | 1.371136 | http://www.mindef.gov.sg/imindef/home.html | Ministry of Defence
                                                                                                            grid.470599.6            : 12.492371 | 41.902615 | http://www.difesa.it/Pagine/default.aspx | Ministry of Defence
                                                                                                            grid.467779.c            : 77.208885 | 28.61389 | http://www.mod.nic.in/ | Raksha Mantralay | Ministry of Defence
                                                                                                            19128368                 : http://en.wikipedia.org/wiki?curid=19128368 | http://www.wikidata.org/wiki/Q851907 | http://www.mod.go.th/home.aspx?lang=en-gb | Ministry of Defence (Thailand)
                                                                                                            39177184                 : http://en.wikipedia.org/wiki?curid=39177184 | http://www.wikidata.org/wiki/Q17015270 | http://mod.gov.bd | Ministry of Defence (Bangladesh)
                                                                                                            9463365                  : http://en.wikipedia.org/wiki?curid=9463365 | http://www.wikidata.org/wiki/Q2982160 | http://www.sweden.gov.se/sb/d/2060 | Ministry of Defence (Sweden)
                                                                                                            24852140                 : http://en.wikipedia.org/wiki?curid=24852140 | http://www.wikidata.org/wiki/Q6866771 | http://www.mod.gov.vn/wps/portal/en | Ministry of Defence (Vietnam)
                                                                                                            17209732                 : http://en.wikipedia.org/wiki?curid=17209732 | http://www.wikidata.org/wiki/Q4118986 | Ministry of Defence (Iraq)
                                                                                                            29787831                 : http://en.wikipedia.org/wiki?curid=29787831 | http://www.wikidata.org/wiki/Q3302819 | http://www.mbrojtja.gov.al | Ministry of Defence (Albania)
                                                                                                            203793                   : http://en.wikipedia.org/wiki?curid=203793 | http://www.wikidata.org/wiki/Q1143261 | http://mod.uk | Ministry of Defence (United Kingdom)
                                                                                                            grid.436606.1            : Ministry of Defence

3    	39_N2146758052                                      ACCEPTABLE [0.135]                              grid.475355.5            : 25.262516 | 54.68477 | https://lrkm.lrv.lt/en/ | Ministry of Culture
                                                                                                            35901211                 : http://en.wikipedia.org/wiki?curid=35901211 | http://www.wikidata.org/wiki/Q2465416 | http://mkrf.ru | Ministry of Culture (Russia)
                                                                                                            29399462                 : http://en.wikipedia.org/wiki?curid=29399462 | http://www.wikidata.org/wiki/Q6866629 | http://www.agro.gov.az/index.shtml?s=1;s2=1;l=0 | Ministry of Agriculture (Azerbaijan)
                                                                                                            12133769                 : http://en.wikipedia.org/wiki?curid=12133769 | http://www.wikidata.org/wiki/Q3113895 | http://www.mcu.es | Ministry of Culture (Spain)
                                                                                                            3077366                  : http://en.wikipedia.org/wiki?curid=3077366 | http://www.wikidata.org/wiki/Q697865 | http://english.moc.gov.tw | Ministry of Culture (Taiwan)
                                                                                                            31672178                 : http://en.wikipedia.org/wiki?curid=31672178 | http://www.wikidata.org/wiki/Q6866714 | http://www.culture.gov.lb | Ministry of Culture (Lebanon)
                                                                                                            10813795                 : http://en.wikipedia.org/wiki?curid=10813795 | http://www.wikidata.org/wiki/Q4294433 | http://www.indiaculture.nic.in | Ministry of Culture (India)
                                                                                                            31664388                 : http://en.wikipedia.org/wiki?curid=31664388 | http://www.wikidata.org/wiki/Q4922984 | http://www.m-culture.go.th | Ministry of Culture (Thailand)
                                                                                                            22913631                 : http://en.wikipedia.org/wiki?curid=22913631 | http://www.wikidata.org/wiki/Q4294685 | http://www.mcx.ru | Ministry of Agriculture (Russia)
                                                                                                            33494851                 : http://en.wikipedia.org/wiki?curid=33494851 | http://www.wikidata.org/wiki/Q4294441 | http://mincult.kmu.gov.ua/control/en | Ministry of Culture (Ukraine)
                                                                                                            grid.436884.5            : Ministry of Agriculture
                                                                                                            6844647                  : http://en.wikipedia.org/wiki?curid=6844647 | http://www.wikidata.org/wiki/Q3064288 | http://www.ecm.gov.eg | Ministry of Culture (Egypt)
